stair.thisTrialN,stair.stepSize,stair.intensity,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,10.35973,10.8982739,10.8982739,10.9027437,11.20393,right,10,1,1,0.6166446,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
1,2,8,11.5374148,12.0376418,12.0376418,12.0376418,12.3374736,left,-8,1,1,0.4171794,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
2,2,6,12.487513,12.9881207,12.9881207,12.9881207,13.2876145,right,6,1,1,0.5317074,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
3,2,4,13.5378591,14.0382368,14.0382368,14.0382368,14.3378852,right,4,1,1,0.5016569,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
4,2,2,14.5716742,15.0552623,15.0552623,15.0717949,15.3546783,left,-2,1,1,0.420375,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
5,2,1,15.5050347,16.0053751,16.0053751,16.0053751,16.3049882,left,-1,1,1,0.4143973,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
6,2,1,16.4386215,16.9390905,16.9390905,16.9390905,17.2388275,left,-1,1,1,0.3808874,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
7,2,1,17.3391965,17.8391973,17.8391973,17.8391973,18.1390401,right,1,1,1,0.5160747,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
8,2,1,18.3726222,18.8728474,18.8728474,18.8728474,19.1726218,right,1,1,1,0.639216,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
9,1,1,19.5395358,20.0399757,20.0399757,20.0399757,20.3395163,left,-1,0,0,0.6176164,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
10,1,2,20.6897579,21.1902236,21.1902236,21.1902236,21.4898111,right,2,1,1,0.4678485,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
11,1,2,21.690017,22.1903689,22.1903689,22.1903689,22.4901421,right,2,1,1,0.4384342,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
12,1,2,22.6569775,23.1573099,23.1573099,23.1573099,23.4570455,left,-2,1,1,0.4808682,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
13,0.5,1,23.6572845,24.1575884,24.1575884,24.1575884,24.4571241,left,-1,0,0,0.5012062,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
14,0.5,1.5,24.6908287,25.1747984,25.1747984,25.1912991,25.4743819,right,1.5,1,1,0.5845184,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
15,0.5,1.5,25.7911438,26.275079,26.275079,26.291439,26.5746646,right,1.5,0,0,0.5100847,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
16,0.5,2,26.8081727,27.3085066,27.3085066,27.3085066,27.6081484,left,-2,1,1,0.5326457,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
17,0.5,2,27.8582716,28.3587185,28.3587185,28.3587185,28.6583382,right,2,1,1,0.5524098,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
18,0.5,2,28.9418321,29.4258076,29.4258076,29.4424356,29.7253806,left,-2,1,1,0.5414002,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
19,0.5,1.5,29.992153,30.4927874,30.4927874,30.4927874,30.7924136,left,-1.5,1,1,0.5507246,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
20,0.5,1.5,31.0757605,31.5764222,31.5764222,31.5764222,31.8760426,left,-1.5,1,1,0.9393115,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
21,0.5,1.5,32.5429182,33.0435547,33.0435547,33.0435547,33.3432205,right,1.5,1,1,0.5690438,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
22,0.5,1,33.6431792,34.1435936,34.1435936,34.1435936,34.4433829,left,-1,1,1,0.4389136,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
23,0.5,1,34.6101746,35.110507,35.110507,35.110507,35.4101412,right,1,1,1,0.7530934,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
24,0.5,1,35.8938353,36.3942415,36.3942415,36.3942415,36.6939113,right,1,0,0,0.6320116,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
25,0.5,1.5,37.0440352,37.5444627,37.5444627,37.5444627,37.8442089,left,-1.5,1,1,0.6917018,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
26,0.5,1.5,38.2610713,38.7449688,38.7449688,38.761508,39.0447405,right,1.5,0,0,1.578083,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
27,0.5,2,40.3450281,40.8455118,40.8455118,40.8455118,41.1450757,right,2,1,1,0.6384275,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
28,0.5,2,41.51197,41.9958146,41.9958146,42.0124724,42.2953716,right,2,1,1,0.5140735,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
29,0.5,2,42.5291923,43.0295027,43.0295027,43.0295027,43.3290227,right,2,0,0,0.6315171,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
30,0.5,2.5,43.6793826,44.1798364,44.1798364,44.1798364,44.4794436,left,-2.5,1,1,0.4206499,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
31,0.5,2.5,44.629624,45.1300554,45.1300554,45.1300554,45.4295346,left,-2.5,0,0,0.4655909,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
32,0.5,3,45.6132061,46.0970949,46.0970949,46.113426,46.3966951,right,3,1,1,0.5504723,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
33,0.5,3,46.68021,47.1639517,47.1639517,47.1806246,47.4634557,left,-3,0,0,0.3818798,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
34,0.5,3.5,47.5635175,48.0475391,48.0475391,48.0639637,48.3470982,right,3.5,0,0,0.4843817,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
35,0.5,4,48.563798,49.047721,49.047721,49.0644341,49.3474751,right,4,1,1,0.4387304,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
36,0.5,4,49.5142566,49.99817,49.99817,50.0146849,50.2975955,left,-4,1,1,0.5541407,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
37,0.5,4,50.5811041,51.0649886,51.0649886,51.0814398,51.3643607,left,-4,1,1,0.4522812,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
38,0.5,3.5,51.5481738,52.0485371,52.0485371,52.0485371,52.3481541,left,-3.5,1,1,0.6009113,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
39,0.5,3.5,52.6816474,53.1654878,53.1654878,53.18216,53.4651723,right,3.5,1,1,0.6185081,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
40,0.5,3.5,53.8152688,54.2991453,54.2991453,54.315669,54.5985148,right,3.5,1,1,0.4707243,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
41,0.5,3,54.7990326,55.2993879,55.2993879,55.2993879,55.5989182,left,-3,1,1,0.6113819,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
42,0.5,3,55.9325987,56.4165247,56.4165247,56.4329284,56.7160156,left,-3,1,1,0.5192251,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
43,0.5,3,56.9661695,57.4500028,57.4500028,57.4664025,57.7496555,right,3,1,1,0.688421,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
44,0.5,2.5,58.1664221,58.6503576,58.6503576,58.6668837,58.9498968,left,-2.5,1,1,0.5180646,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
45,0.5,2.5,59.2001735,59.6838863,59.6838863,59.7005861,59.9836833,left,-2.5,0,0,0.5859666,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
46,0.5,3,60.3004441,60.8008698,60.8008698,60.8008698,61.1006018,left,-3,1,1,0.6000896,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
47,0.5,3,61.4174034,61.9178089,61.9178089,61.9178089,62.2172834,left,-3,0,0,2.3983386,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
48,0.5,3.5,64.3349507,64.8352318,64.8352318,64.8352318,65.1347327,left,-3.5,1,1,0.7939472,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
49,0.5,3.5,65.6519819,66.1521902,66.1521902,66.1521902,66.4519437,right,3.5,1,1,0.5173509,787122,1,2023-09-01_11h35.57.878,starircase,2023.1.3,60.03957809
